"State.Code","cases7DaysPerPaxlovid","cases7DaysPerMolnupiravir","cases7DaysperPPlusM"
"NJ",5.80483675937122,1.15454545454545,0.963009027081244
"VT",22.4819277108434,2.37555697008275,2.14853195164076
"MD",6.34308510638298,0.813160586430276,0.7207615593835
"KY",33.3485714285714,4.33782402675834,3.83852667927321
"WI",13.1892783505155,2.51150372987829,2.10976253298153
"MS",33.1356589147287,5.17572271832904,4.47650215996858
"LA",14.6009316770186,2.89828418781465,2.41825975139306
"WA",20.8987450085568,5.12241331096197,4.11403705783268
"CA",24.8575187209067,4.98320282387309,4.15104096255239
"NV",14.198175787728,2.92450896669513,2.42501062172497
"IN",18.3654670094259,3.4764801297648,2.92314511729405
"MN",19.0412490362375,5.38284655623365,4.19651656754461
"PA",10.2840177133655,2.36291739894552,1.92143663031215
"VA",15.9652699131748,2.81890288608945,2.39587582143666
"KS",38.1496478873239,4.01277777777778,3.63086461126005
"AK",42.8445229681979,10.0538971807629,8.14304902619208
"OK",24.8953942232631,4.72319312796209,3.96999875513507
"IA",14.064620355412,3.43228858663513,2.7589922357788
"TX",35.7254464285714,3.98958812701335,3.58881261211536
"UT",60.8888888888889,3.83216783216783,3.60526315789474
"ID",31.9718309859155,4.30740037950664,3.79598662207358
"MO",17.4536950420954,3.78036673082768,3.10733616454326
"IL",14.3680704258863,3.06465364120782,2.52589091517484
"NY",5.35756090921465,1.3455713943869,1.07546448087432
"NC",34.3449765934462,5.67444074250357,4.86984937452132
"WV",35.4667896678967,7.0543119266055,5.88399142944597
"ME",35.0673575129534,3.03361721201255,2.79207920792079
"WY",33.4339622641509,6.30604982206406,5.30538922155689
"SC",131.489795918367,5.24003717904032,5.03921787709497
"MT",34.2317073170732,7.64850136239782,6.25167037861915
"GA",45.9099756690998,3.58272151898734,3.32337227734398
"AR",34.6544655929722,5.73933074684772,4.92386103598918
"NM",41.8951965065502,6.69037656903766,5.76909200240529
"NE",26.0224438902743,4.02429618202854,3.48530394121576
"AL",31.2504604051565,5.6724051479191,4.80096194652709
"AZ",35.9252427184466,8.70351640597436,7.00615355486131
"RI",27.7521367521368,5.24979789814066,4.41468388851122
"CT",10.8629989212513,2.91968686575819,2.30118829981718
"OH",9.52903225806452,4.38503276003276,3.00308490499895
"SD",33.2671232876712,6.1715374841169,5.20578778135048
"NH",17.003861003861,11.5137254901961,6.8651597817615
"MA",16.4835221421215,7.57836174242424,5.19153421991567
"FL",48.9579067121729,7.90920786620107,6.80917721518987
"MI",21.1330744793505,11.0318776487931,7.24818401937046
"HI",33.2492307692308,14.8027397260274,10.242654028436
"OR",39.4508196721311,17.6948529411765,12.2157360406091
"TN",59.3503597122302,28.1655855240696,19.100949293818
"CO",17.8519184652278,29.9869083585096,11.1901540774145
"ND",249.878787878788,82.46,62
