"stateCode","2021-12-23","2022-01-13","2022-01-27","molnupiravirCoursesPer100000"
"AK",73.8554457449689,98.4739276599586,98.4739276599586,92.5928458691555
"AL",73.9607097952426,97.9369838497444,98.3433613760918,79.6703140404248
"AR",72.5947543030541,97.0129898413541,97.0129898413541,88.3016193249876
"AZ",68.9896692012735,91.6269044079413,91.8963953032588,75.5787215917857
"CA",73.4605331761434,97.7441672412862,97.8965749864649,121.077793028148
"CO",70.9400713085464,94.3571822259307,94.3571822259307,18.3721009918007
"CT",77.031076135379,101.770983799296,102.333254428022,48.6926364476192
"DE",72.9624476469104,97.2832635292139,97.2832635292139,NA
"FL",72.7914824947067,96.901935609262,96.9939602394702,73.6887226392369
"GA",70.0279000490849,93.1837923319823,93.3705333987799,106.414396914589
"HI",76.7587345043305,102.344979339107,102.344979339107,70.859683611868
"IA",73.3350803098154,97.3586411009619,97.3586411009619,146.354061135537
"ID",66.7793157090677,87.5794304381216,87.5794304381216,78.3835902421188
"IL",75.630405647494,100.575728518621,100.734615925444,119.054333932074
"IN",72.2432857785983,95.9296089846961,96.2256880247723,104.190214202823
"KS",72.7570993940912,96.780669948744,96.780669948744,67.4719138720676
"KY",73.7059414359392,98.2745885812522,98.2745885812522,168.65259508569
"LA",73.6225162626111,98.1633550168148,98.1633550168148,110.842788373153
"MA",76.302945322702,101.253718317958,101.543843585345,65.6698542729794
"MD",74.3089024376953,98.7482747949817,98.7482747949817,138.065940729238
"ME",77.0289917867837,102.211546794002,103.692873559132,149.614003278176
"MI",75.051008096579,99.7335588876999,99.9342300323432,51.8534237758182
"MN",72.1186733982142,95.8047082888042,96.1582311976189,91.3149673468565
"MO",73.8025615666171,97.861546394501,98.1866678110941,111.988071945468
"MS",74.1543205340729,98.4230072543149,98.4230072543149,151.544465964178
"MT",74.034520446021,98.0957395909778,98.0957395909778,111.607039572377
"NC",71.5038822929125,94.8982923306992,95.0869569277782,101.878882422619
"ND",73.1730582026345,99.306293275004,99.306293275004,0
"NE",71.2238948941757,94.9651931922343,94.9651931922343,97.1328769498832
"NH",76.119375674736,102.468390331375,102.468390331375,51.6733454099651
"NJ",74.9799800075903,99.5229764665313,99.7481415716592,135.650717584303
"NM",73.1133318362508,97.8009503783615,97.8009503783615,50.3247608743025
"NV",69.4652672070725,91.7706282368664,92.407924266289,124.145266531539
"NY",77.0552443695888,102.395559632071,102.602419348499,96.7276034019322
"OH",74.2310691745479,98.8607326794671,98.8607326794671,60.4196432855047
"OK",71.8451621201156,95.458607012741,95.458607012741,69.3079728284611
"OR",73.0872305527257,97.135287057171,97.135287057171,26.0992142651185
"PA",76.1934324390331,101.382637003067,101.382637003067,163.675070525861
"RI",77.5688778526664,104.055811753577,104.055811753577,151.070119427693
"SC",71.2911361354072,94.6715625023955,95.0548481805429,193.080160366728
"SD",71.6912526590174,94.0947691149603,94.0947691149603,69.2268658488636
"TN",72.0214833114897,95.8350382773855,95.8350382773855,96.2996930084274
"TX",67.4369487519039,89.7796954091003,89.8478135391527,115.654367109515
"UT",63.3869753304662,84.3108312647948,84.3108312647948,123.727683399905
"VA",73.3362877380679,97.5489033722237,97.7817169840906,108.304892240474
"VT",80.212145081311,105.880031507331,105.880031507331,161.065987323273
"WA",70.9679666715712,94.363999640221,94.363999640221,114.627563750291
"WI",74.0657556464423,98.7543408619231,98.7543408619231,130.472314923478
"WV",78.4407327036784,105.334698202082,105.334698202082,156.041028985532
"WY",75.5587916088527,99.6002253025786,99.6002253025786,87.5795084557157
