"State.Code","Evusheld","Molnupiravir","Paxlovid","cases2022","casesLastSevenDays","POPESTIMATE2020","cases2022Share","cases7DaysShare","paxlovidShare","molnupiravirShare","pPlusMShare","populationShare","cases2022Per100000","cases7DaysPer100000","paxlovidCoursesPer100000","molnupiravirCoursesPer100000","pPlusMCoursesPer100000","cases7DaysPerPaxlovid","cases7DaysPerMolnupiravir","cases7DaysperPPlusM","rowDate"
"OH",8582,9768,4495,589150,42833,11693217,0.0289485739381662,0.0199221680572758,0.0463397284564077,0.0199810172154219,0.024345198979287,0.035673489964739,5038.39106038997,366.306380870209,38.4410893939623,83.5356087208507,121.976698114813,9.52903225806452,4.38503276003276,3.00308490499895,"2022-02-07"
"SD",231,787,146,51036,4857,892717,0.00250771351864253,0.00225905190517098,0.00150513912227709,0.00160985468351116,0.00159251704744267,0.00272348755187318,5716.92932922752,544.069397132574,16.3545670128383,88.1578372541354,104.512404266974,33.2671232876712,6.1715374841169,5.20578778135048,"2022-02-07"
"NH",742,765,518,82633,8808,1366275,0.00406026904902399,0.00409671179344163,0.00534015113246255,0.00156485239248544,0.00218992429996672,0.00416821115195021,6048.05035589468,644.672558599111,37.9133044226089,55.9916561453587,93.9049605679676,17.003861003861,11.5137254901961,6.8651597817615,"2022-02-07"
"MA",4866,4224,1942,489848,32011,6893574,0.0240692540888786,0.0148887194845436,0.0200204121606994,0.00864043987693919,0.0105246089116093,0.0210308115303244,7105.864098942,464.359996715782,28.1711634632485,61.2744564720709,89.4456199353195,16.4835221421215,7.57836174242424,5.19153421991567,"2022-02-07"
"FL",7416,16323,2637,1408801,129102,21733312,0.0692230839559746,0.0600469670704929,0.0271852867496211,0.0333896543824049,0.0323624043081597,0.0663036602786505,6482.21955309895,594.028190457119,12.1334474929546,75.1059019444436,87.2393494373982,48.9579067121729,7.90920786620107,6.80917721518987,"2022-02-07"
"MI",7313,5427,2833,584779,59870,9966555,0.0287337997436763,0.0278462914479281,0.0292058844754178,0.0111012469725731,0.0140988111595675,0.0304058155916818,5867.41356466703,600.709071489597,28.4250676387177,54.4521150989484,82.8771827376661,21.1330744793505,11.0318776487931,7.24818401937046,"2022-02-07"
"HI",782,730,325,109483,10806,1407006,0.00537957518538954,0.00502600677110925,0.00335048092287708,0.00149325783858087,0.00180075614689391,0.0042924726720908,7781.27456457186,768.013782457218,23.098693253618,51.8832186927419,74.9819119463599,33.2492307692308,14.8027397260274,10.242654028436,"2022-02-07"
"OR",2094,1904,854,233080,33691,4241507,0.0114526582593699,0.0156701086549548,0.00880403294811394,0.0038947437324082,0.00470756914988948,0.012939925548279,5495.21667652558,794.31673695222,20.1343531909767,44.8897054749644,65.0240586659411,39.4508196721311,17.6948529411765,12.2157360406091,"2022-02-07"
"TN",3305,2929,1390,500378,82497,6886834,0.0245866579479448,0.0383703942806034,0.0143297491778435,0.00599144138247038,0.00737200549614672,0.0210102492400357,7265.71890653964,1197.89441708628,20.1834398796312,42.5304283506761,62.7138682303073,59.3503597122302,28.1655855240696,19.100949293818,"2022-02-07"
"CO",2423,993,1668,340863,29777,5807719,0.0167487019575407,0.0138496579329373,0.0171956990134122,0.00203123977220658,0.0045420019970471,0.0177181014826394,5869.13726370026,512.714199843346,28.7203978016154,17.0979346624725,45.8183324640879,17.8519184652278,29.9869083585096,11.1901540774145,"2022-02-07"
"ND",0,100,33,54645,8246,765309,0.00268504595239088,0.00383531851143503,0.000340202678322904,0.00020455586829875,0.000227014755959137,0.00233479314814943,7140.25315264815,1077.47328203379,4.31198378694096,13.0666175361847,17.3786013231257,249.878787878788,82.46,62,"2022-02-07"
