"State.Code","2022-01-03","2022-01-04","2022-01-05","2022-01-07","2022-01-10","2022-01-11","2022-01-12","2022-01-13","2022-01-14","2022-01-19","2022-01-21","2022-01-24","2022-01-25","2022-01-26","2022-01-27","2022-01-28","2022-02-01","2022-02-04","2022-02-07"
"ND",73.1730582026345,146.346116405269,73.1730582026345,73.1730582026345,73.1730582026345,73.1730582026345,73.1730582026345,58.4077803867457,58.4077803867457,58.4077803867457,58.4077803867457,0,0,NA,NA,13.0666175361847,13.0666175361847,13.0666175361847,13.0666175361847
"MI",5.01677861608148,13.2442955464551,23.2477521069216,28.6458058978253,29.7294300788989,26.8096649243395,37.8967456658795,39.4118128079361,40.4753698745454,47.528960608756,50.0473834740289,51.8534237758182,52.4955714386767,52.6561083543913,52.7062761405521,53.258121788321,51.8534237758182,54.6026184574309,54.4521150989484
"SD",6.72105493678288,13.4421098735658,24.6438681015372,24.6438681015372,24.5318505192575,20.2751823926283,20.1631648103486,19.3790417343906,52.7602812537456,56.4568614689762,67.4345845323882,69.2268658488636,68.5547603551854,68.1066900260665,67.6586196969476,87.0376614313383,86.9256438490585,87.0376614313383,88.1578372541354
"WY",10.3034715830254,20.6069431660507,10.3034715830254,20.6069431660507,20.6069431660507,20.6069431660507,20.6069431660507,20.6069431660507,23.6979846409584,66.6291162368974,91.0139989833908,87.5795084557157,98.7416026706598,99.9436743553461,99.9436743553461,116.944402467338,136.349273948702,139.44031542361,144.763775741506
"IN",0,58.2979629910082,28.8380985034241,28.5716273673555,68.0093555055083,66.2624891690586,66.0996456970167,65.448271808849,63.568169904365,62.9315999682011,84.6638015097958,104.190214202823,122.443487023522,123.361332047758,127.417614896802,123.346528095754,125.641140656345,148.838933446317,182.532728206991
"CO",7.5761241203302,18.5959410226287,9.26353358349466,9.12578587221592,25.8276958647621,16.3575407143493,16.1164822196115,7.42115794514163,16.1337006835214,26.154846679049,18.6303779504484,18.3721009918007,15.6515836940458,15.6688021579556,15.6860206218655,17.8899840023252,17.8211101466858,17.5456147241284,17.0979346624725
"AZ",0,0,0,0,10.240654022064,19.6728353581756,23.5265551612155,41.0704124463831,40.3966852080894,55.3534298982092,56.337071666118,75.5787215917857,97.31316229914,98.6740913204933,100.870442117331,103.578825615271,105.034076449986,106.300683657978,114.574054144224
"NH",0,0,0,0,0,0,18.5906936744067,18.5906936744067,15.2238751349472,38.6452214964045,47.2818429671918,51.6733454099651,51.6733454099651,56.0648478527383,56.0648478527383,72.0938317688606,72.0938317688606,51.6001537025855,55.9916561453587
"NY",2.80812065051589,82.0095345780496,38.6879384650264,46.0728303415213,49.5894455208045,70.5236488233612,75.783057113554,73.2903975305914,73.9368341444303,80.6339174638006,94.1366854536661,96.7276034019322,125.439732042198,124.017571491752,123.883112676074,130.057875211462,136.972161233082,150.774875811769,151.281682117019
"CA",0.754418338634667,17.5370512118981,22.9729274566058,43.050107754816,48.7806389735359,53.4112942978827,86.5574387451681,89.5547910670163,62.2992059708884,61.278074078191,109.43638142558,121.077793028148,120.618029663526,125.139459437161,128.657538221703,125.477296605641,124.834643946804,143.326783695155,187.819684770996
"LA",0,0,0,0,0,2.49713797849792,30.4607779273669,60.1465819993378,71.9864603456642,69.5969576248601,85.7207192274027,110.842788373153,119.647352452512,121.261881317921,130.992108613447,158.266882913075,164.531254910859,201.600837660629,209.522792626899
